Equipo,Comp,PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls./90,Ast,G+A/90,G-TP/90,G+A-TP,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Dis,DaP,%_de TT,Dis/90,DaP/90,G/T,G/TalArc,Dist,FK,Pases_exito,Pases_intentados,%_pase_exito,Dist.tot.pase,Dist.pase.prg,Pase_corto_exito,Pase_corto_intentado,%Pase_corto_exito,Pase_medio_exito,Pase_medio_intentado,%Pase_medio_exito,Pase_largo_exito,Pase_largo_intentado,%Pase_largo_exito,Pases_clave,Pases_1/3,Pases_Area,CrAP,Pases_tiros_libres,Cambios_juego,Pcz,SE,SE_dentro,SE_fuera,SE_recto,Pases_fuera_juego,Pases_bloqueados,ACT,ACT/90,PassLive,PassDead,ACT/HASTA,ACT/Dis,ACT/FR,ACT/Def,ACG,ACG/90,PassLive.1,PassDead.1,ACG/HASTA.1,ACG/Dis,ACG/FR,ACG/Def,Tkl,TklG,Duelos_exito,Duelos_intentados,%Duelos_exito,Duelos_perdidos,Bloqueos_defensivos,Disparos_bloqueados,Pases_interceptados,Intercepciones,Tkl+Int,Despejes_defensivos,Errores_provocan_tiro_oponente,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Transportes,Errores de control,Pases_recibidos,Pases_progresivos_decididos,2a amarilla,Fls,FR,Recuperaciones_balón,Aereos_ganados,Aereos_perdidos,%Aereo_ganados,GC,GC/90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,Penal_concedido,Penal_detenido,PC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Long/prom/Saque/meta,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
Fulham,eng Premier League,26,28.7,52.7,29,319,2610,29.0,42,37,79,39,3,4,61,2,39.8,36.6,30.9,67.5,612,1215,1.45,1.28,2.72,1.34,2.62,1.37,1.06,2.44,1.26,2.33,393,126,32.1,13.55,4.34,0.1,0.31,16.4,7,12645,15410,82.1,225463,75514,5585,6227,89.7,5649,6398,88.3,1174,2094,56.1,309,1025,255,79,356,95,675,156,61,73,0,33,266,724,24.97,547,60,31,53,20,13,78,2.69,61,3,4,3,4,3,518,304,224,437,51.3,213,283,78,205,248,766,634,20,18532,1986,6142,7752,4831,721,11045,376,12523,1204,0,326,288,1232,395,407,49.3,38,1.31,116,80,69.0,12,9,8,5,17.2,2,0,0,2,0,4,2,33.4,0.28,-2.6,-0.09,892,29.3,381,19,5.0,24,0.83,13.0
Genoa,it Serie A,34,27.0,45.5,30,330,2700,30.0,27,21,48,27,0,2,59,0,30.6,28.9,22.7,51.6,369,819,0.9,0.7,1.6,0.9,1.6,1.02,0.76,1.77,0.96,1.72,318,90,28.3,10.6,3.0,0.08,0.3,17.8,14,9446,12368,76.4,174531,65579,3758,4405,85.3,4462,5260,84.8,993,1992,49.8,238,614,166,61,392,46,544,127,49,68,0,48,262,552,18.4,381,70,18,38,37,8,46,1.53,32,6,0,6,2,0,545,322,217,447,48.5,230,336,98,238,245,790,740,13,15847,1990,5855,6921,3207,524,7545,485,9357,809,0,378,340,1170,546,562,49.3,38,1.27,119,81,73.1,8,11,11,9,30.0,6,2,0,6,0,5,2,39.5,0.29,3.5,0.12,762,38.7,416,22,5.3,13,0.43,10.2
Getafe,es La Liga,30,28.3,42.8,29,319,2610,29.0,26,13,39,21,5,5,91,3,26.8,23.0,15.5,38.5,288,775,0.9,0.45,1.34,0.72,1.17,0.93,0.54,1.46,0.79,1.33,325,88,27.1,11.21,3.03,0.06,0.24,19.8,12,6712,9997,67.1,130812,58099,2857,3552,80.4,2734,3628,75.4,968,2242,43.2,218,755,176,83,466,97,569,111,44,52,1,70,190,553,19.07,357,74,36,28,46,12,41,1.41,21,5,1,8,4,2,492,294,246,506,48.6,260,319,67,252,208,700,792,13,13632,1373,3963,6215,3622,502,6093,598,6646,762,3,476,404,1093,621,589,51.3,25,0.86,87,61,78.2,9,9,11,8,27.6,6,1,0,6,0,2,0,29.6,0.29,4.6,0.16,538,58.8,362,18,5.0,24,0.83,13.4
Girona,es La Liga,29,28.0,56.4,29,319,2610,29.0,36,27,63,32,4,5,64,2,33.2,29.4,23.7,53.1,571,1309,1.24,0.93,2.17,1.1,2.03,1.15,0.82,1.96,1.01,1.83,300,102,34.0,10.34,3.52,0.11,0.31,17.6,8,14189,16602,85.5,247123,77050,6344,6877,92.2,6438,7095,90.7,1164,1962,59.3,230,1130,251,68,361,109,612,147,62,62,1,61,265,547,18.86,429,41,24,26,19,8,65,2.24,47,5,2,7,3,1,443,274,229,439,52.2,210,267,79,188,226,669,546,28,19485,1962,6202,8784,4643,636,11864,416,14013,1303,0,318,324,1128,233,253,47.9,45,1.55,116,69,62.9,9,7,13,6,20.7,2,3,0,2,1,3,1,38.6,0.3,-5.4,-0.19,835,31.3,343,31,9.0,28,0.97,12.8
Gladbach,de Bundesliga,26,27.3,50.5,27,297,2430,27.0,43,32,75,40,3,4,47,3,42.2,39.0,32.1,71.0,424,911,1.59,1.19,2.78,1.48,2.67,1.56,1.19,2.75,1.44,2.63,333,124,37.2,12.33,4.59,0.12,0.32,16.3,5,11699,14365,81.4,202264,71256,5401,6024,89.7,5036,5786,87.0,1011,1820,55.5,254,710,219,66,321,61,471,122,53,54,0,48,287,593,21.96,433,58,23,41,25,13,77,2.85,62,5,1,5,3,1,407,227,195,373,52.3,178,349,123,226,250,657,805,14,17514,2272,6632,7720,3285,566,9621,326,11575,904,2,281,270,1051,421,368,53.4,40,1.48,135,96,75.6,13,4,10,7,25.9,7,1,0,7,1,3,2,42.6,0.28,4.6,0.17,1000,29.7,465,22,4.7,22,0.82,17.7
Heidenheim,de Bundesliga,26,27.6,43.0,27,297,2430,27.0,32,21,53,27,5,5,54,1,33.4,29.5,22.9,52.4,407,765,1.19,0.78,1.96,1.0,1.78,1.24,0.85,2.08,1.09,1.94,323,101,31.3,11.96,3.74,0.08,0.27,17.2,10,8425,11301,74.6,164395,64727,3115,3809,81.8,4013,4774,84.1,1126,2110,53.4,234,633,186,71,330,61,470,110,56,39,0,38,270,577,21.37,388,61,35,45,41,7,52,1.93,29,6,3,9,4,1,508,296,254,471,53.9,217,364,90,274,248,756,776,13,14681,1869,5598,6197,3067,515,7689,433,8351,752,0,314,314,1123,456,530,46.2,52,1.93,137,85,65.7,6,4,17,6,22.2,5,0,0,5,0,6,0,47.7,0.32,-4.3,-0.16,802,37.4,389,18,4.6,16,0.59,12.0
Hellas Verona,it Serie A,32,25.8,37.9,30,330,2700,30.0,26,17,43,24,2,2,79,8,28.1,26.5,20.7,47.2,359,781,0.87,0.57,1.43,0.8,1.37,0.94,0.69,1.63,0.88,1.57,298,80,26.8,9.93,2.67,0.08,0.3,17.6,10,7804,10570,73.8,141309,54543,3482,4076,85.4,3281,3914,83.8,833,1967,42.3,220,644,150,47,325,70,423,121,56,48,1,46,219,515,17.17,370,50,28,32,25,10,41,1.37,25,4,3,5,2,2,539,346,249,480,51.9,231,320,110,210,267,806,758,22,13909,1675,4854,6264,2959,414,6949,406,7736,773,5,440,283,1130,510,530,49.0,58,1.93,147,90,61.2,9,3,18,7,23.3,1,0,1,1,0,6,1,44.5,0.3,-12.5,-0.42,636,58.7,446,27,6.1,21,0.7,22.3
Hoffenheim,de Bundesliga,34,27.1,50.1,27,297,2430,27.0,33,19,52,30,3,3,50,1,33.8,31.5,25.9,57.4,393,1013,1.22,0.7,1.93,1.11,1.81,1.25,0.96,2.21,1.17,2.13,344,112,32.6,12.74,4.15,0.09,0.27,17.8,8,10537,13529,77.9,184163,69292,4705,5378,87.5,4531,5411,83.7,977,1960,49.8,255,845,248,95,336,50,611,129,47,52,2,47,285,617,22.85,464,54,31,34,29,5,58,2.15,41,3,5,6,3,0,462,273,220,425,51.8,205,365,116,249,225,687,708,16,16741,1876,5337,7525,4011,608,8842,339,10444,1006,0,304,303,1193,456,481,48.7,49,1.81,136,87,66.2,6,9,12,3,11.1,3,2,0,3,0,6,2,51.9,0.37,4.9,0.18,817,36.5,395,16,4.1,25,0.93,14.6
Holstein Kiel,de Bundesliga,27,26.2,44.4,27,297,2430,27.0,38,22,60,35,3,4,62,3,30.7,27.5,20.1,47.6,291,721,1.41,0.81,2.22,1.3,2.11,1.14,0.74,1.88,1.02,1.76,291,104,35.7,10.78,3.85,0.12,0.34,17.6,10,8646,11382,76.0,164948,64712,3331,3887,85.7,4154,4928,84.3,1022,2036,50.2,212,558,151,59,328,45,383,96,46,38,1,41,236,521,19.3,372,58,16,35,32,8,62,2.3,37,6,3,8,5,3,423,254,210,407,51.6,197,337,131,206,241,664,843,15,14675,2258,6207,6132,2468,457,6907,397,8572,709,2,327,287,1025,433,480,47.4,67,2.48,156,90,59.6,4,5,18,2,7.4,4,1,0,4,3,6,2,52.5,0.32,-12.5,-0.46,839,43.5,528,28,5.3,19,0.7,10.2
Inter,it Serie A,25,30.1,59.4,30,330,2700,30.0,64,49,113,58,6,7,41,1,55.1,50.0,39.4,89.3,553,1392,2.13,1.63,3.77,1.93,3.57,1.84,1.31,3.15,1.67,2.98,467,152,32.5,15.57,5.07,0.12,0.38,16.3,14,15043,17561,85.7,267688,84479,6404,7024,91.2,6972,7725,90.3,1395,2106,66.2,357,1093,324,93,360,101,608,186,50,102,1,75,214,847,28.23,645,78,27,52,33,12,113,3.77,87,7,4,8,6,1,406,233,195,374,52.1,179,281,93,188,184,590,505,10,20452,1873,5800,9626,5167,839,12604,330,14922,1381,1,336,325,1141,494,346,58.8,28,0.93,102,74,74.5,20,7,3,13,43.3,2,1,0,2,0,3,1,28.0,0.25,1.0,0.03,1016,24.9,329,14,4.3,12,0.4,13.2
Ipswich Town,eng Premier League,32,26.4,41.4,29,319,2610,29.0,27,19,46,25,2,2,75,3,27.1,25.6,18.0,43.6,401,731,0.93,0.66,1.59,0.86,1.52,0.94,0.62,1.56,0.88,1.5,280,97,34.6,9.66,3.34,0.09,0.26,17.5,10,9096,11625,78.2,160540,59862,4114,4647,88.5,4022,4699,85.6,781,1679,46.5,212,691,128,40,324,46,395,118,89,14,1,42,236,499,17.21,340,59,38,25,27,10,42,1.45,32,2,4,2,2,0,470,262,225,491,45.8,266,321,131,190,253,723,767,32,14875,2246,5924,5902,3204,470,7527,423,9008,722,3,334,299,1137,403,403,50.0,62,2.14,161,100,64.6,3,8,18,2,6.9,5,0,0,5,0,5,1,57.3,0.33,-3.7,-0.13,769,40.8,426,55,12.9,28,0.97,7.6
Juventus,it Serie A,29,25.4,58.4,30,330,2700,30.0,44,30,74,39,5,5,51,1,41.3,37.5,28.4,65.9,651,1201,1.47,1.0,2.47,1.3,2.3,1.38,0.95,2.32,1.25,2.2,398,139,34.9,13.27,4.63,0.1,0.28,17.2,8,14996,17311,86.6,260396,78057,6756,7328,92.2,6808,7434,91.6,1173,1915,61.3,302,1099,233,57,331,89,496,144,69,61,0,35,220,700,23.33,529,42,45,48,24,12,73,2.43,50,4,8,7,2,2,477,274,211,381,55.4,170,326,110,216,165,642,487,21,20346,1798,6198,9791,4521,646,12587,439,14854,1191,1,375,303,1183,344,363,48.7,28,0.93,91,63,74.7,14,13,3,15,50.0,5,0,0,5,0,5,0,25.5,0.24,-2.5,-0.08,747,29.9,382,24,6.3,23,0.77,14.0
Las Palmas,es La Liga,30,27.8,50.0,29,319,2610,29.0,31,22,53,29,2,3,89,4,27.5,25.1,19.9,45.1,371,919,1.07,0.76,1.83,1.0,1.76,0.95,0.69,1.64,0.87,1.55,307,106,34.5,10.59,3.66,0.09,0.27,19.2,18,11032,13910,79.3,192888,70191,5012,5670,88.4,4721,5516,85.6,1024,2018,50.7,232,808,194,65,436,77,480,112,39,50,2,46,247,561,19.34,419,45,31,25,34,7,55,1.9,44,2,1,4,3,1,478,287,254,493,51.5,239,344,115,229,238,716,740,24,17101,2065,6016,7895,3314,499,8757,411,10940,911,2,346,355,1103,386,403,48.9,48,1.66,142,92,69.0,6,8,15,3,10.3,4,4,1,4,0,4,2,49.9,0.31,3.9,0.13,868,33.8,452,14,3.1,27,0.93,14.5
Lazio,it Serie A,26,27.9,54.6,30,330,2700,30.0,50,36,86,45,5,6,70,4,45.5,41.1,30.5,71.6,621,1214,1.67,1.2,2.87,1.5,2.7,1.52,1.02,2.54,1.37,2.39,413,143,34.6,13.77,4.77,0.11,0.31,17.8,12,12925,15340,84.3,233956,76219,5438,5972,91.1,5969,6641,89.9,1286,2106,61.1,317,1030,244,74,420,96,654,177,102,38,0,32,216,748,24.93,551,47,45,59,28,18,86,2.87,64,3,7,7,4,1,410,253,193,401,48.1,208,245,73,172,240,650,540,19,18186,1781,5363,8703,4318,726,10475,371,12827,1208,2,342,391,1136,376,385,49.4,42,1.4,94,54,59.6,15,7,8,6,20.0,4,0,0,4,0,3,2,32.3,0.32,-7.7,-0.26,947,29.2,380,30,7.9,36,1.2,14.5
Le Havre,fr Ligue 1,31,27.5,42.5,27,297,2430,27.0,27,15,42,20,7,8,49,4,33.5,27.0,19.6,46.7,418,837,1.0,0.56,1.56,0.74,1.3,1.24,0.73,1.97,1.0,1.73,268,76,28.4,9.93,2.81,0.07,0.26,17.3,7,8672,11045,78.5,158752,56197,3516,4059,86.6,4069,4714,86.3,894,1688,53.0,187,608,156,64,356,57,552,105,68,26,0,43,219,464,17.19,297,51,27,38,42,9,45,1.67,25,3,4,7,6,0,490,302,243,436,55.7,193,302,112,190,250,740,812,14,14199,1749,5338,6105,2925,473,7385,371,8575,819,1,304,319,1094,367,343,51.7,57,2.11,135,78,61.5,7,3,17,3,11.1,5,1,0,5,1,7,1,56.8,0.39,0.8,0.03,639,29.8,442,25,5.7,13,0.48,11.3
Lecce,it Serie A,30,26.7,44.8,30,330,2700,30.0,21,16,37,19,2,3,48,5,27.6,25.4,19.6,45.0,420,858,0.7,0.53,1.23,0.63,1.17,0.92,0.65,1.57,0.85,1.5,351,92,26.2,11.7,3.07,0.05,0.21,19.2,17,9549,12354,77.3,176716,66531,4015,4620,86.9,4159,4901,84.9,1167,2220,52.6,252,666,184,77,407,68,479,123,45,58,0,41,242,609,20.3,438,58,30,35,35,13,37,1.23,32,1,0,2,2,0,524,309,242,478,50.6,236,317,121,196,230,754,781,19,15768,2050,5889,6902,3170,472,7898,445,9439,851,0,370,348,1204,497,492,50.3,49,1.63,145,97,71.0,6,7,17,7,23.3,7,1,1,7,2,5,2,44.8,0.27,-2.2,-0.07,685,30.7,445,21,4.7,15,0.5,10.8
Leganés,es La Liga,26,28.6,41.8,29,319,2610,29.0,28,21,49,24,4,6,62,5,25.6,20.9,16.1,37.0,299,745,0.97,0.72,1.69,0.83,1.55,0.88,0.56,1.44,0.72,1.28,233,77,33.0,8.03,2.66,0.1,0.31,20.0,11,8450,11286,74.9,153343,58447,3734,4290,87.0,3572,4252,84.0,922,2131,43.3,163,569,134,33,373,74,358,81,36,32,0,69,204,405,13.97,264,41,31,22,32,15,53,1.83,35,3,5,3,5,2,505,309,229,458,50.0,229,346,132,214,263,768,961,16,14761,1975,5697,6607,2611,324,7380,433,8385,740,0,384,350,1173,378,469,44.6,46,1.59,138,94,71.7,6,9,14,8,27.6,7,0,1,7,1,6,2,47.6,0.31,3.6,0.12,674,64.4,570,41,7.2,36,1.24,8.4
Leicester City,eng Premier League,28,27.3,45.9,29,319,2610,29.0,25,20,45,23,2,2,64,0,25.7,24.2,20.4,44.6,472,861,0.86,0.69,1.55,0.79,1.48,0.89,0.7,1.59,0.84,1.54,260,83,31.9,8.97,2.86,0.09,0.28,17.7,6,10813,13572,79.7,180366,65309,5265,5894,89.3,4436,5130,86.5,823,1800,45.7,198,774,172,55,340,36,499,105,67,19,3,48,246,459,15.83,340,37,35,21,23,3,44,1.52,30,3,5,3,3,0,574,329,254,533,47.7,279,389,144,245,254,828,758,21,16905,2174,6083,7746,3245,503,9566,391,10724,854,0,311,295,1158,399,442,47.4,65,2.24,164,101,61.0,4,5,20,1,3.4,1,1,0,1,0,3,3,59.2,0.36,-2.8,-0.1,880,33.8,475,25,5.3,29,1.0,20.7
Lens,fr Ligue 1,33,27.9,53.7,27,297,2430,27.0,29,17,46,25,4,4,69,7,39.9,36.9,27.4,64.3,431,1134,1.07,0.63,1.7,0.93,1.56,1.48,1.01,2.49,1.37,2.38,360,107,29.7,13.33,3.96,0.07,0.23,16.6,6,11546,14245,81.1,190525,68667,5709,6438,88.7,4498,5204,86.4,957,1706,56.1,274,880,287,81,314,56,557,149,69,54,0,71,280,642,23.78,485,53,35,43,18,8,46,1.7,32,1,5,5,2,1,498,310,247,472,52.3,225,321,84,237,263,761,553,13,17426,1513,4979,7999,4604,639,9612,446,11452,1126,3,415,279,1252,371,322,53.5,30,1.11,110,80,80.0,11,6,10,11,40.7,8,0,0,8,2,4,0,39.4,0.3,9.4,0.35,700,31.7,302,33,10.9,31,1.15,13.2
Leverkusen,de Bundesliga,23,27.7,59.1,27,297,2430,27.0,60,45,105,58,2,5,48,1,50.4,46.3,36.8,83.2,538,1371,2.22,1.67,3.89,2.15,3.81,1.87,1.36,3.23,1.72,3.08,426,151,35.4,15.78,5.59,0.14,0.38,16.6,11,14700,17309,84.9,239930,79917,7610,8279,91.9,5589,6335,88.2,1118,1883,59.4,325,1299,254,65,316,89,587,186,98,43,0,50,256,771,28.56,553,65,50,64,28,11,104,3.85,74,7,7,13,2,1,317,209,145,285,50.9,140,236,55,181,200,517,493,13,20067,1452,4483,9804,5894,787,11253,359,14569,1362,1,247,276,1171,344,321,51.7,34,1.26,108,77,71.3,17,8,2,6,22.2,3,0,0,3,1,2,3,30.8,0.27,-0.2,-0.01,651,30.3,271,12,4.4,32,1.19,16.1
Lille,fr Ligue 1,27,26.6,57.7,27,297,2430,27.0,41,22,63,35,6,9,64,1,45.5,39.1,28.8,67.9,546,1310,1.52,0.81,2.33,1.3,2.11,1.68,1.07,2.75,1.45,2.51,341,126,37.0,12.63,4.67,0.1,0.28,16.6,12,13315,15669,85.0,232666,73998,5813,6433,90.4,6085,6724,90.5,1107,1754,63.1,259,1138,284,65,331,82,439,134,39,55,0,36,254,623,23.07,481,47,24,38,26,7,65,2.41,40,2,3,12,6,2,506,284,259,460,56.3,201,237,64,173,219,725,474,15,18518,1528,4712,9034,4894,701,10911,414,13195,1300,0,333,299,1216,311,281,52.5,28,1.04,100,72,75.0,13,8,6,10,37.0,3,0,0,3,0,4,0,34.7,0.34,6.7,0.25,685,24.9,286,15,5.2,16,0.59,13.8
Liverpool,eng Premier League,24,27.9,57.1,29,319,2610,29.0,69,51,120,60,9,9,56,2,65.0,58.0,47.2,105.2,635,1441,2.38,1.76,4.14,2.07,3.83,2.24,1.63,3.87,2.0,3.63,483,171,35.4,16.66,5.9,0.12,0.35,16.0,5,13931,16539,84.2,236762,79695,6661,7255,91.8,5908,6666,88.6,1065,1897,56.1,386,1192,340,65,339,106,534,183,113,41,1,42,251,877,30.24,678,47,64,56,18,14,122,4.21,98,3,8,7,6,0,506,315,275,528,52.1,253,281,74,207,236,742,553,19,19713,1792,5451,8863,5571,1001,11430,403,13781,1430,1,337,271,1240,313,255,55.1,27,0.93,96,68,71.9,21,7,1,12,41.4,0,1,0,0,0,1,0,28.1,0.29,1.1,0.04,771,24.6,287,11,3.8,47,1.62,15.8
Lyon,fr Ligue 1,27,28.2,56.1,27,297,2430,27.0,49,36,85,44,5,7,45,0,47.7,42.2,35.2,77.4,514,1299,1.81,1.33,3.15,1.63,2.96,1.77,1.3,3.07,1.56,2.87,338,143,42.3,12.52,5.3,0.13,0.31,15.9,5,12594,15014,83.9,208517,70612,6137,6774,90.6,5261,5890,89.3,887,1593,55.7,271,999,297,47,332,87,468,144,62,61,0,50,283,622,23.04,492,40,28,39,20,3,89,3.3,68,2,7,8,4,0,467,280,249,477,52.2,228,289,93,196,222,689,567,19,17899,1703,5154,8330,4575,767,10231,368,12465,1285,0,322,281,1133,255,269,48.7,37,1.37,139,102,75.5,13,6,8,9,33.3,3,0,0,3,1,4,0,42.7,0.3,5.7,0.21,693,31.0,359,24,6.7,24,0.89,13.5
Mainz 05,de Bundesliga,24,28.2,49.2,27,297,2430,27.0,43,31,74,40,3,3,59,4,37.8,35.5,28.7,64.2,359,1001,1.59,1.15,2.74,1.48,2.63,1.4,1.06,2.46,1.31,2.38,311,113,36.3,11.52,4.19,0.13,0.35,16.6,7,9885,13031,75.9,176476,67651,4458,5152,86.5,4182,5013,83.4,1016,2115,48.0,236,788,236,67,295,57,486,121,43,50,6,62,295,549,20.33,415,50,24,31,21,8,74,2.74,60,1,0,8,4,1,453,262,182,361,50.4,179,346,112,234,283,736,790,16,16479,1830,5498,7304,3805,588,8193,481,9814,988,2,323,251,1225,501,567,46.9,31,1.15,118,86,76.3,13,6,8,9,33.3,3,1,0,3,2,6,0,36.3,0.29,5.3,0.2,797,41.8,476,41,8.6,51,1.89,13.7
Mallorca,es La Liga,28,29.4,47.0,29,319,2610,29.0,27,18,45,23,4,5,63,6,33.4,29.5,22.6,52.1,388,931,0.93,0.62,1.55,0.79,1.41,1.15,0.78,1.93,1.02,1.8,312,91,29.2,10.76,3.14,0.07,0.25,16.3,6,9605,12372,77.6,178143,69484,4200,4779,87.9,4070,4835,84.2,1152,2156,53.4,226,726,198,92,370,77,584,121,48,60,3,62,224,556,19.17,383,73,27,42,26,5,47,1.62,35,6,0,2,3,1,449,280,199,375,53.1,176,284,101,183,268,717,804,11,15675,1883,5336,6991,3511,514,8221,430,9501,919,1,348,341,1168,514,473,52.1,35,1.21,107,73,70.1,11,7,11,6,20.7,3,0,0,3,0,3,1,31.1,0.28,-2.9,-0.1,726,35.9,473,16,3.4,18,0.62,13.1
Manchester City,eng Premier League,27,27.5,60.7,29,319,2610,29.0,54,40,94,52,2,3,50,1,51.4,49.0,42.2,91.2,892,1489,1.86,1.38,3.24,1.79,3.17,1.77,1.46,3.23,1.69,3.14,463,163,35.2,15.97,5.62,0.11,0.32,16.9,13,16220,18412,88.1,263190,74728,8366,9005,92.9,6688,7307,91.5,942,1504,62.6,376,1226,333,51,340,66,505,201,95,28,4,35,275,851,29.34,680,51,52,36,25,7,93,3.21,70,3,8,8,2,2,385,234,171,350,48.9,179,255,69,186,173,558,472,29,21185,1623,5017,8885,7452,1045,13507,344,15987,1470,1,215,287,1101,231,244,48.6,40,1.38,113,75,67.3,14,6,9,7,24.1,3,0,0,3,1,3,2,39.8,0.34,1.8,0.06,937,24.7,272,13,4.8,48,1.66,15.8
Manchester Utd,eng Premier League,29,26.4,52.7,29,319,2610,29.0,35,23,58,32,3,3,64,3,38.9,36.5,29.2,65.7,492,1055,1.21,0.79,2.0,1.1,1.9,1.34,1.01,2.35,1.26,2.27,379,128,33.8,13.07,4.41,0.08,0.25,17.2,10,12712,15444,82.3,210004,68549,6251,6940,90.1,5160,5847,88.3,940,1843,51.0,294,859,231,50,314,84,446,144,80,28,9,55,268,676,23.31,508,59,29,40,27,13,57,1.97,35,4,4,5,5,4,620,371,294,539,54.5,245,290,90,200,301,921,585,18,18736,1969,6644,7996,4269,709,11435,375,12584,1043,1,309,281,1317,362,372,49.3,40,1.38,119,79,68.9,10,7,12,8,27.6,3,1,0,3,0,10,1,40.5,0.32,1.5,0.05,952,35.1,356,20,5.6,20,0.69,11.7
Marseille,fr Ligue 1,32,27.3,64.2,27,297,2430,27.0,53,36,89,47,6,7,51,6,49.3,43.7,35.1,78.8,550,1387,1.96,1.33,3.3,1.74,3.07,1.83,1.3,3.12,1.62,2.92,386,146,37.8,14.3,5.41,0.12,0.32,16.9,11,16642,18918,88.0,263697,81963,8367,8970,93.3,7012,7667,91.5,833,1433,58.1,305,1251,262,54,363,45,489,138,68,47,0,42,262,708,26.22,527,57,42,53,19,10,96,3.56,74,2,5,8,5,2,446,284,222,390,56.9,168,219,58,161,220,666,421,25,21605,1536,5512,11124,5113,679,13076,362,16474,1377,4,312,294,1197,256,207,55.3,36,1.33,110,73,69.1,15,4,8,5,18.5,2,3,0,2,1,3,2,37.2,0.32,3.2,0.12,824,25.3,251,21,8.4,49,1.81,18.5
Milan,it Serie A,34,26.3,54.7,30,330,2700,30.0,44,30,74,40,4,8,56,5,51.3,45.1,36.7,81.8,769,1331,1.47,1.0,2.47,1.33,2.33,1.71,1.22,2.93,1.5,2.73,445,150,33.7,14.83,5.0,0.09,0.27,17.9,5,12912,15149,85.2,228528,75718,5516,6097,90.5,6115,6751,90.6,1064,1751,60.8,360,1011,273,65,418,70,554,178,111,16,0,51,197,819,27.3,609,55,58,48,34,15,80,2.67,52,4,5,10,6,3,439,282,185,365,50.7,180,223,74,149,187,626,528,14,18100,1521,5426,8291,4575,793,11169,400,12764,1321,1,332,340,1100,357,327,52.2,35,1.17,109,75,68.8,13,8,9,10,33.3,1,1,0,1,0,2,2,30.3,0.27,-2.7,-0.09,1023,31.4,356,22,6.2,62,2.07,32.7
Monaco,fr Ligue 1,28,25.0,56.1,27,297,2430,27.0,53,42,95,49,4,5,50,3,61.3,57.5,47.2,104.7,540,1339,1.96,1.56,3.52,1.81,3.37,2.27,1.75,4.02,2.13,3.88,409,144,35.2,15.15,5.33,0.12,0.34,15.8,7,11740,14424,81.4,196731,73148,5611,6356,88.3,4950,5682,87.1,903,1682,53.7,326,998,328,47,391,78,444,150,69,58,0,59,230,721,26.7,549,51,33,48,23,17,91,3.37,69,6,4,8,2,2,560,353,286,523,54.7,237,271,56,215,287,847,518,15,17634,1379,4509,8767,4537,801,10210,490,11644,1331,2,372,351,1415,345,347,49.9,33,1.22,104,71,71.2,15,5,7,8,29.6,3,0,0,3,1,2,0,30.0,0.27,-3.0,-0.11,579,32.0,298,21,7.0,34,1.26,14.0
Montpellier,fr Ligue 1,35,27.3,44.9,26,286,2385,26.5,21,12,33,18,3,4,74,6,29.2,26.2,20.1,46.3,420,819,0.79,0.45,1.25,0.68,1.13,1.1,0.76,1.86,0.99,1.75,297,92,31.0,11.21,3.47,0.06,0.2,19.7,18,8484,10940,77.6,160578,60077,3472,4040,85.9,3653,4292,85.1,1140,2017,56.5,217,659,133,61,377,95,523,129,45,71,0,53,217,513,19.36,363,47,26,26,38,13,35,1.32,20,4,4,3,4,0,475,280,237,476,49.8,239,285,100,185,207,682,588,19,13843,1644,4661,6244,3101,449,7239,369,8406,811,2,326,352,1073,327,375,46.6,60,2.31,152,93,63.8,4,3,19,0,0.0,5,1,0,5,0,3,2,53.1,0.32,-4.9,-0.19,704,38.4,370,24,6.5,23,0.88,14.5
Monza,it Serie A,35,27.5,47.9,30,330,2700,30.0,23,15,38,20,3,3,73,3,23.3,21.1,16.0,37.1,406,864,0.77,0.5,1.27,0.67,1.17,0.78,0.53,1.31,0.7,1.24,257,74,28.8,8.57,2.47,0.08,0.27,18.5,14,10927,13552,80.6,199954,68668,4497,5090,88.3,5062,5766,87.8,1151,2056,56.0,188,682,153,56,450,65,524,108,34,59,0,36,228,451,15.03,333,45,20,25,25,3,37,1.23,29,3,1,4,0,0,443,243,218,411,53.0,193,313,133,180,240,683,682,28,16606,2250,6439,7145,3165,383,9871,419,10817,850,2,416,411,1049,487,513,48.7,52,1.73,142,90,64.8,2,9,19,3,10.0,2,2,0,2,1,8,2,46.1,0.3,-3.9,-0.13,822,29.6,447,18,4.0,26,0.87,13.1
Nantes,fr Ligue 1,30,27.4,40.2,27,297,2430,27.0,31,23,54,27,4,4,55,3,32.7,29.7,23.3,52.9,393,861,1.15,0.85,2.0,1.0,1.85,1.21,0.86,2.07,1.1,1.96,282,100,35.5,10.44,3.7,0.1,0.27,15.5,3,8661,11033,78.5,156220,60810,3728,4234,88.0,3834,4414,86.9,896,1800,49.8,213,715,182,72,341,31,499,118,58,48,0,26,232,508,18.81,364,47,42,29,18,8,53,1.96,39,1,7,4,2,0,516,293,252,457,55.1,205,321,91,230,218,734,792,9,14174,1738,4812,6406,3089,534,7579,392,8610,853,0,326,301,1050,324,353,47.9,46,1.7,122,79,68.0,6,9,12,4,14.8,7,0,0,7,0,3,3,43.7,0.32,0.7,0.02,658,42.4,469,26,5.5,13,0.48,10.6
